8.8.8.8,8ms,Wed Dec  4 14:42:47 2019
8.8.8.8,15ms,Wed Dec  4 14:43:02 2019
8.8.8.8,8ms,Wed Dec  4 14:43:17 2019
8.8.8.8,14ms,Wed Dec  4 14:43:32 2019
8.8.8.8,8ms,Wed Dec  4 14:43:47 2019
8.8.8.8,9ms,Wed Dec  4 14:44:02 2019
8.8.8.8,9ms,Wed Dec  4 14:44:17 2019
8.8.8.8,9ms,Wed Dec  4 14:44:32 2019
8.8.8.8,8ms,Wed Dec  4 14:44:47 2019
8.8.8.8,8ms,Wed Dec  4 14:45:02 2019
8.8.8.8,10ms,Wed Dec  4 14:45:17 2019
8.8.8.8,8ms,Wed Dec  4 14:45:32 2019
8.8.8.8,8ms,Wed Dec  4 14:45:47 2019
8.8.8.8,8ms,Wed Dec  4 14:46:02 2019
8.8.8.8,93ms,Wed Dec  4 14:46:18 2019
8.8.8.8,8ms,Wed Dec  4 14:46:33 2019
8.8.8.8,8ms,Wed Dec  4 14:46:48 2019
8.8.8.8,12ms,Wed Dec  4 14:47:03 2019
8.8.8.8,9ms,Wed Dec  4 14:47:18 2019
8.8.8.8,10ms,Wed Dec  4 14:47:33 2019
8.8.8.8,8ms,Wed Dec  4 14:47:48 2019
8.8.8.8,36ms,Wed Dec  4 14:48:03 2019
8.8.8.8,9ms,Wed Dec  4 14:48:18 2019
8.8.8.8,9ms,Wed Dec  4 14:48:33 2019
8.8.8.8,9ms,Wed Dec  4 14:48:48 2019
8.8.8.8,12ms,Wed Dec  4 14:49:03 2019
8.8.8.8,9ms,Wed Dec  4 14:49:18 2019
8.8.8.8,10ms,Wed Dec  4 14:49:33 2019
8.8.8.8,8ms,Wed Dec  4 14:49:48 2019
8.8.8.8,9ms,Wed Dec  4 14:50:03 2019
8.8.8.8,9ms,Wed Dec  4 14:50:18 2019
8.8.8.8,8ms,Wed Dec  4 14:50:33 2019
8.8.8.8,12ms,Wed Dec  4 14:50:48 2019
